New_Group	Group	Order	Taxa	NDVI_37DAP_2017	NDVI_44DAP_2017	NDVI_60DAP_2017	NDVI_73DAP_2017	NDVI_115DAP_2017	FT_2017	PH_2017	EH_2017
unclassified	unclassified	826	PI641242	117.1	123.36	127.22	132.25	132.96	79	150	65
sweet corn	sweet corn	827	AMES22056	116.59	123.74	126.2	124.57	127.35	65	95	19
sweet corn	sweet corn	828	PI567793	115.41	123.37	128.07	129.37	126.41	78	123	38
stiff stalk	stiff stalk	829	AMES28360	117.21	123.96	128.09	130.28	130.66	78	154	52
unclassified	unclassified	830	AMES23449	119.65	125.24	129.11	127.18	123.93	68	126	65
unclassified	unclassified	831	CIZE7	112.77	123.29	130.13	130.4	135.41	95	166	91
unclassified	unclassified	832	PI550456	119.99	125.55	129.24	131.58	136.17	80	84	42
stiff stalk	stiff stalk	833	PI517972	114.65	124.23	127.04	129.93	127	77	179	113
unclassified	unclassified	834	NSL438021	113.84	124.28	126.24	129.57	127.72	77	140	58
sweet corn	sweet corn	835	AMES22011	113.69	123.23	128.52	127.62	123.74	70	117	39
stiff stalk	stiff stalk	836	PI601441	121.77	128.27	128.68	132.47	129.58	75	162	86
unclassified	unclassified	837	NSL32726	111.48	119.87	124.06	123.8	106.09	67	89	33
unclassified	unclassified	838	NSL437972	114.14	122.59	126.27	126.82	130.22	88	128	76
stiff stalk	stiff stalk	839	AMES23485	114.94	122.56	127.9	127.58	125.02	70	110	63
unclassified	unclassified	840	AMES10274	111.43	125.5	130.12	129.94	132.02	93	174	76
unclassified	unclassified	841	NSL30835	112.6	122.77	128.29	129.2	129.61	70	86	39
unclassified	unclassified	842	PI641243	117.33	125.81	130.18	130.34	134.66	93	135	67
unclassified	unclassified	843	NSL197105	114.9	122.91	125.92	126.56	131.56	89	131	74
unclassified	unclassified	844	PI601584	114.64	125.35	129.89	128.36	132.3	73	122	64
unclassified	unclassified	845	AMES26119	115.03	124.65	128.32	129.51	128.88	88	156	63
sweet corn	sweet corn	846	PI567794	111.13	120.69	125.74	128.57	122.4	77	101	41
unclassified	unclassified	847	NSL22629	114.94	123.23	127.4	129.8	126.79	89	171	90
unclassified	unclassified	848	NSL437884	115.77	123.13	131.37	130.77	132.8	101	85	41
unclassified	unclassified	849	NSL65864	115.26	123.32	131.1	128.45	129.52	70	160	80
unclassified	unclassified	850	PI594065	118.76	125.11	127.4	130.56	127.44	76	147	68
unclassified	unclassified	851	PI538231	115.22	124.96	127.55	127.37	133.32	75	114	50
unclassified	unclassified	852	PI303928	109.85	120.36	126.67	130.92	124.27	81	172	83
unclassified	unclassified	853	NSL438038	111.32	122.44	128.5	128.93	133.8	98	137	66
sweet corn	sweet corn	854	AMES22017	116.08	122.35	123.23	122.41	124.1	67	63	27
unclassified	unclassified	855	AMES24734	118.35	124.79	129.92	127.98	128.4	74	139	76
popcorn	popcorn	856	NSL75977	110.06	122.22	126.88	129.63	136.99	82	136	64
unclassified	unclassified	857	PI601492	120.04	126.89	128.97	130.5	130.74	74	143	68
unclassified	unclassified	858	AMES27106	112.42	120.21	125.7	124.98	128.69	67	108	43
unclassified	unclassified	859	PI406122	110.37	121.5	130.03	129.19	130.89	81	148	75
unclassified	unclassified	860	AMES27150	120.15	126.34	130.14	131.64	133.62	80	183	84
unclassified	unclassified	861	PI558531	115.64	122.48	127.82	127.63	129.6	88	133	63
unclassified	unclassified	862	PI601611	114.68	123.94	129.58	129.4	124.61	68	115	52
non-stiff stalk	non-stiff stalk	863	AMES14116	117.35	126	131.08	132.11	135.57	82	147	63
unclassified	unclassified	864	NSL437987	112.85	122.74	125.84	129.94	134.45	90	144	73
unclassified	unclassified	865	AMES23463	116.12	125.68	129.31	129.42	128.25	73	143	69
sweet corn	sweet corn	866	AMES22046	114.05	121.03	125.27	124.99	122.83	67	97	20
unclassified	unclassified	867	NSL438002	113.59	123.04	126.55	129.83	132.74	90	106	56
unclassified	unclassified	868	PI550530	110.84	120.64	126.29	125.81	119.11	65	76	37
tropical	tropical	869	PI639938	119.09	125.71	130.3	131.98	137.52	91	147	76
unclassified	unclassified	870	NSL117226	118.23	124.49	127.46	129.1	123.92	76	130	44
unclassified	unclassified	871	NSL437995	118.9	124.85	126.97	128.79	125.53	79	127	69
unclassified	unclassified	872	NSL437893	122.26	126.11	127.48	128.14	130.16	76	147	79
popcorn	unclassified	873	AMES29004	116.76	126.02	129.56	128.5	133.94	76	110	48
unclassified	unclassified	874	AMES24716	117.13	124.3	129.87	130.22	138.86	75	134	61
unclassified	unclassified	875	AMES28365	115.58	122.93	130.11	132.08	131.93	81	134	80
unclassified	unclassified	876	AMES27041	116.84	124.35	127.36	126.08	123.5	66	125	72
non-stiff stalk	non-stiff stalk	877	AMES25221	116.43	122.57	126.74	127.51	127.34	78	133	41
unclassified	unclassified	878	AMES2338	117.16	124.78	128.82	129.03	130.32	73	121	78
stiff stalk	stiff stalk	879	AMES27052	114.87	122.58	128.36	131.35	131.57	83	104	40
unclassified	unclassified	880	PI221797	102.94	121.98	127.65	125.2	133.25	99	188	100
unclassified	unclassified	881	NSL437907	118.76	124.62	130.62	129.73	131.67	74	148	72
unclassified	unclassified	882	AMES29394	115.93	124.35	126.55	129.12	134.77	89	119	73
popcorn	popcorn	883	PI587132	114.98	123.14	127.86	129.74	132.52	86	163	97
unclassified	unclassified	884	PI369437	114.61	123.27	126.06	127.56	127.45	72	129	65
unclassified	unclassified	885	AMES26794	116.73	125.72	129.51	131.93	137.73	82	118	30
non-stiff stalk	non-stiff stalk	886	PI548805	117.24	125.39	126.89	131.35	135.32	79	147	75
non-stiff stalk	non-stiff stalk	887	PI539870	114.44	125.57	129.08	128.72	133.96	75	136	60
unclassified	unclassified	888	NSL32720	110.12	120.05	119.77	122.56	131.48	64	84	30
unclassified	unclassified	889	AMES23418	116.26	124.53	128.25	125.96	118.1	71	150	72
non-stiff stalk	non-stiff stalk	890	PI558532	116.46	123.72	130.94	132.92	134.82	81	151	74
unclassified	unclassified	891	AMES27143	116.49	123.72	128.96	130.08	128.03	80	149	67
unclassified	unclassified	892	PI340821	112.94	121.6	124.18	122.43	119.38	67	103	46
unclassified	unclassified	893	PI543850	115.64	124.4	129.83	129.16	129.72	69	142	68
unclassified	unclassified	894	AMES26783	115.54	123.75	126.92	130.24	123.37	78	142	47
unclassified	unclassified	895	AMES28943	116.43	122.32	128.12	127.56	125.81	90	173	108
unclassified	unclassified	896	AMES28415	103.73	118.29	122.9	128.37	130.01	87	132	64
unclassified	unclassified	897	NSL437976	113.42	123.78	129.41	133.75	135.25	85	133	76
sweet corn	sweet corn	898	AMES22043	109.94	120.78	120.73	122.93	128.56	66	100	24
unclassified	unclassified	899	PI553055	114.61	122.97	127.32	129.55	120.03	70	115	35
unclassified	unclassified	900	NSL437939	113.57	124.09	129.42	129.94	134.32	84	157	98
unclassified	unclassified	901	PI594057	118.31	123.9	128.75	132.3	138.29	76	129	45
